=== RUN   TestToImageBuffer
index=24, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=24, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=24, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=24, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=24, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=25, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=25, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=25, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=25, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=25, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=25, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=25, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=25, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=26, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=26, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=26, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=26, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=26, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=26, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=26, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=26, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=27, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=27, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=27, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=27, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=27, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=27, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=27, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=27, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=28, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=28, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=28, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=28, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=28, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=28, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=28, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=28, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=29, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=29, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=29, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=29, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=29, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=29, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=29, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=29, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=30, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=30, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=30, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=30, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=30, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
index=30, i=5, bytesBufferPos=81 buffer[bytesBufferPos]=0, mask=4, imageByte=0, imageBits=0 
index=30, i=6, bytesBufferPos=97 buffer[bytesBufferPos]=0, mask=2, imageByte=0, imageBits=0 
index=30, i=7, bytesBufferPos=113 buffer[bytesBufferPos]=0, mask=1, imageByte=0, imageBits=0 
index=31, i=0, bytesBufferPos=1 buffer[bytesBufferPos]=0, mask=128, imageByte=0, imageBits=0 
index=31, i=1, bytesBufferPos=17 buffer[bytesBufferPos]=0, mask=64, imageByte=0, imageBits=0 
index=31, i=2, bytesBufferPos=33 buffer[bytesBufferPos]=0, mask=32, imageByte=0, imageBits=0 
index=31, i=3, bytesBufferPos=49 buffer[bytesBufferPos]=0, mask=16, imageByte=0, imageBits=0 
index=31, i=4, bytesBufferPos=65 buffer[bytesBufferPos]=0, mask=8, imageByte=0, imageBits=0 
